match_id,time_s,cs_self,cs_enemy,cs_diff,xp_self,xp_enemy,xp_diff,self_x,self_y,enemy_x,enemy_y,champ_distance,self_base_distance,cs_diff_final,is_ahead_final
NA1_5408967392,0.0,0,0,0,0,0,0,14103,14195,603,611,19151.37217016055,2618.517519513666,15,1
NA1_5408967392,60.014,0,0,0,0,0,0,3237,13735,1002,12128,2752.7575265540554,12962.422381638395,15,1
NA1_5408967392,120.031,3,3,0,185,215,-30,2941,12582,2224,12125,850.2576080224158,13498.896436375828,15,1
NA1_5408967392,180.037,10,11,-1,675,768,-93,3350,13155,1640,11484,2390.887073870282,12965.975667106582,15,1
NA1_5408967392,240.043,17,17,0,1288,1230,58,1778,11767,1242,10748,1151.3717905177284,14838.583928394246,15,1
NA1_5408967392,300.049,22,22,0,1565,1785,-220,1999,13131,1720,12230,943.2083545007434,14291.926462167374,15,1
NA1_5408967392,360.05,30,29,1,2239,2297,-58,1342,11506,1282,11297,217.44194627532195,15331.438288692943,15,1
NA1_5408967392,420.055,35,32,3,2710,2627,83,5723,13398,1695,11228,4575.334304725721,10601.279781233961,15,1
NA1_5408967392,480.075,46,39,7,3419,3088,331,1487,10877,1163,10171,776.7959835117584,15390.656191338952,15,1
NA1_5408967392,540.147,51,47,4,3695,4155,-460,8971,13975,2494,13548,6491.059851826973,7314.879766612709,15,1
NA1_5408967392,600.175,60,51,9,4343,4680,-337,1563,10658,1699,11383,737.6455788520664,15393.632872067594,15,1
NA1_5408967392,660.204,62,58,4,4548,5808,-1260,4421,13536,3463,13389,969.2125669841472,11838.265793603387,15,1
NA1_5408967392,720.216,74,67,7,5318,6351,-1033,1006,12314,1390,12293,384.573790058553,15440.42201495801,15,1
NA1_5408967392,780.239,81,67,14,6361,6472,-111,2251,12524,1853,11442,1152.878137532324,14181.59289360684,15,1
NA1_5408967392,840.252,92,79,13,7182,7120,62,2304,13511,1438,12546,1296.603640284879,13920.328192970164,15,1
NA1_5408967392,900.253,99,87,12,7611,7570,41,1205,10977,1263,10211,768.1926841619882,15624.421717298852,15,1
NA1_5408967392,960.282,111,96,15,8299,8957,-658,1251,10686,1354,11880,1198.4343953675561,15677.104228778988,15,1
NA1_5409113655,0.0,0,0,0,0,0,0,14103,14195,603,611,19151.37217016055,2618.517519513666,35,1
NA1_5409113655,60.019,0,0,0,0,0,0,3413,11378,2655,12719,1540.4041677429987,13408.782681511399,35,1
